"Sign In", "Register"
"Your shopping cart has been updated with new prices.","Your shopping bag has been updated with new prices."
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Check &quot;Remember Me&quot; to access your shopping bag on this computer even if you are not signed in."
"Check \'Remember Me\' to access your shopping cart on this computer even if you are not signed in.","Check \'Remember Me\' to access your shopping bag on this computer even if you are not signed in."
"Persistent Shopping Cart","Persistent Shopping Bag"

"Edit Cart Price Rules","Edit Bag Price Rules"
"Cart %1 doesn\'t contain item  %2","Bag %1 doesn\'t contain item  %2"
"Cannot assign customer to the given cart. The cart belongs to different store.","Cannot assign customer to the given bag. The bag belongs to different store."
"Cannot assign customer to the given cart. The cart is not anonymous.","Cannot assign customer to the given bag. The bag is not anonymous."
"Cannot assign customer to the given cart. Customer already has active cart.","Cannot assign customer to the given bag. Customer already has active bag."
"Cart contains virtual product(s) only. Shipping method is not applicable.","Bag contains virtual product(s) only. Shipping method is not applicable."
Carts,Bags
"Manage carts","Manage bags"

"Reminder emails may promote a cart price rule with or without a coupon. If a cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Reminder emails may promote a bag price rule with or without a coupon. If a bag price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer."
"Cart Price Rule","Bag Price Rule"
"Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:","Shopping bag is not empty and abandoned %1 %2 days and %3 of these conditions match:"
"The root shopping cart condition should have a days value of 0 or greater.","The root shopping bag condition should have a days value of 0 or greater."
"Shopping cart %1 a coupon applied","Shopping bag %1 a coupon applied"
"Cart Line Items","Bag Line Items"
"The item was added to shopping cart %1, store view %2.","The item was added to shopping bag %1, store view %2."
"If an item is %1 in the shopping cart and %2 of these conditions match:","If an item is %1 in the shopping bag and %2 of these conditions match:"
"Total shopping cart items quantity %1 %2:","Total shopping bag items quantity %1 %2:"
"Shopping cart %1 only virtual items","Shopping bag %1 only virtual items"
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a> and apply the coupon ""%coupon_code"" in the shopping cart.","To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a> and apply the coupon ""%coupon_code"" in the shopping bag."
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned bags"

"Products in Cart","Products in Bag"
"Abandoned Cart","Abandoned Bag"
"Abandoned carts","Abandoned bags"
"Products in carts","Products in bags"
"Abandoned Carts","Abandoned Bags"
"Customer Shopping Carts","Customer Shopping Bags"
"Products in Carts","Products in Bags"

"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from shopping bag?"
"We could not add a product to cart by the ID ""%1"".","We could not add a product to bag by the ID ""%1""."
"Move to Shopping Cart","Move to Shopping Bag"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping bag when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Bag"
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Bag"

"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Apply the rule only to bag items matching the following conditions (leave blank for all items)."
"New Cart Price Rule","New Bag Price Rule"
"Cart Attribute","Bag Attribute"
"Quantity in cart","Quantity in bag"
"Price in cart","Price in bag"
"Row total in cart","Row total in bag"
"Cart Item Attribute","Bag Item Attribute"
"If an item is %1 in the cart with %2 of these conditions true:","If an item is %1 in the bag with %2 of these conditions true:"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in bag matching %4 of these conditions:"
"Fixed amount discount for whole cart","Fixed amount discount for whole bag"
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Bag Price Rules based on ""%2"" attribute have been disabled."

"Remove Cart Price Rule from Update","Remove Bag Price Rule from Update"
"Deleting the update will remove the cart price rule from this campaign and all scheduled changes will be lost.","Deleting the update will remove the bag price rule from this campaign and all scheduled changes will be lost."
"sales_rule","Bag Price Rules"
Magento\SalesRule\Api\Data\RuleInterface,"Bag Price Rule"

"Shopping Cart Display Settings","Shopping Bag Display Settings"

"We can\'t add the item to the cart right now.","We can\'t add the item to the bag right now."
"The requested cart item doesn\'t exist.","The requested bag item doesn\'t exist."
"We couldn\'t add the following product(s) to the shopping cart: %1.","We couldn\'t add the following product(s) to the shopping bag: %1."
"Add All to Cart","Add All to Bag"
